"iso","country","region"
"IRQ","Iraq","Western Asia"
"IRL","Ireland","Northern Europe"
"IMN","Isle of Man","Northern Europe"
"ISR","Israel","Western Asia"
"ITA","Italy","Southern Europe"
"JAM","Jamaica","Caribbean America"
"JPN","Japan","Eastern Asia"
"JOR","Jordan","Western Asia"
"KAZ","Kazakhstan","Central Asia"
"KEN","Kenya","Eastern Africa"
"KIR","Kiribati","Micronesia Oceania"
"KWT","Kuwait","Western Asia"
"KGZ","Kyrgyzstan","Central Asia"
"LAO","Lao People's Democratic Republic","South-Eastern Asia"
"LVA","Latvia","Northern Europe"
"LBN","Lebanon","Western Asia"
"LSO","Lesotho","Southern Africa"
"LBR","Liberia","Western Africa"
"LBY","Libya","Northern Africa"
"LIE","Liechtenstein","Western Europe"
"LTU","Lithuania","Northern Europe"
"LUX","Luxembourg","Western Europe"
"MDG","Madagascar","Eastern Africa"
"MWI","Malawi","Eastern Africa"
"MYS","Malaysia","South-Eastern Asia"
"MDV","Maldives","Southern Asia"
"MLI","Mali","Western Africa"
"MLT","Malta","Southern Europe"
"MHL","Marshall Islands","Micronesia Oceania"
"MTQ","Martinique","Caribbean America"
"MRT","Mauritania","Western Africa"
"MUS","Mauritius","Eastern Africa"
"MYT","Mayotte","Eastern Africa"
"MEX","Mexico","Central America"
"FSM","Micronesia (Fed. States of)","Micronesia Oceania"
"MCO","Monaco","Western Europe"
"MNG","Mongolia","Eastern Asia"
"MNE","Montenegro","Southern Europe"
"MSR","Montserrat","Caribbean America"
"MAR","Morocco","Northern Africa"
"MOZ","Mozambique","Eastern Africa"
"MMR","Myanmar","South-Eastern Asia"
"NAM","Namibia","Southern Africa"
"NRU","Nauru","Micronesia Oceania"
"NPL","Nepal","Southern Asia"
"NLD","Netherlands","Western Europe"
"NCL","New Caledonia","Melanesia Oceania"
"NZL","New Zealand","Oceania"
"NIC","Nicaragua","Central America"
"NER","Niger","Western Africa"
"NGA","Nigeria","Western Africa"
"NIU","Niue","Polynesia Oceania"
"MKD","North Macedonia","Southern Europe"
"MNP","Northern Mariana Islands","Micronesia Oceania"
"NOR","Norway","Northern Europe"
"OMN","Oman","Western Asia"
"PAK","Pakistan","Southern Asia"
"PLW","Palau","Micronesia Oceania"
"PAN","Panama","Central America"
"PNG","Papua New Guinea","Melanesia Oceania"
"PRY","Paraguay","South America"
"PER","Peru","South America"
"PHL","Philippines","South-Eastern Asia"
"POL","Poland","Eastern Europe"
"PRT","Portugal","Southern Europe"
"PRI","Puerto Rico","Caribbean America"
"QAT","Qatar","Western Asia"
"KOR","Republic of Korea","Eastern Asia"
"MDA","Republic of Moldova","Eastern Europe"
"REU","Réunion","Eastern Africa"
"ROU","Romania","Eastern Europe"
"RUS","Russian Federation","Eastern Europe"
"RWA","Rwanda","Eastern Africa"
"BLM","Saint Barthelemy","Caribbean America"
"SHN","Saint Helena","Western Africa"
"KNA","Saint Kitts and Nevis","Caribbean America"
"LCA","Saint Lucia","Caribbean America"
"MAF","Saint Martin (French part)","Caribbean America"
"SPM","Saint Pierre and Miquelon","Northen America"
"VCT","Saint Vincent and the Grenadines","Caribbean America"
"WSM","Samoa","Polynesia Oceania"
"SMR","San Marino","Southern Europe"
"STP","Sao Tome and Principe","Middle Africa"
"SAU","Saudi Arabia","Western Asia"
"SEN","Senegal","Western Africa"
"SRB","Serbia","Southern Europe"
"SYC","Seychelles","Eastern Africa"
"SLE","Sierra Leone","Western Africa"
"SGP","Singapore","South-Eastern Asia"
"SXM","Sint Maarten (Dutch part)","Caribbean America"
"SVK","Slovakia","Eastern Europe"
"SVN","Slovenia","Southern Europe"
"SLB","Solomon Islands","Melanesia Oceania"
"SOM","Somalia","Eastern Africa"
"ZAF","South Africa","Southern Africa"
"SSD","South Sudan","Eastern Africa"
"ESP","Spain","Southern Europe"
"LKA","Sri Lanka","Southern Asia"
"PSE","State of Palestine","Western Asia"
"SDN","Sudan","Northern Africa"
"SUR","Suriname","South America"
"SWE","Sweden","Northern Europe"
"CHE","Switzerland","Western Europe"
"SYR","Syrian Arab Republic","Western Asia"
"TJK","Tajikistan","Central Asia"
"THA","Thailand","South-Eastern Asia"
"TLS","Timor-Leste","South-Eastern Asia"
"TGO","Togo","Western Africa"
"TKL","Tokelau","Polynesia Oceania"
"TON","Tonga","Polynesia Oceania"
"TTO","Trinidad and Tobago","Caribbean America"
"TUN","Tunisia","Northern Africa"
"TUR","Turkey","Western Asia"
"TKM","Turkmenistan","Central Asia"
"TCA","Turks and Caicos Islands","Caribbean America"
"TUV","Tuvalu","Polynesia Oceania"
"UGA","Uganda","Eastern Africa"
"UKR","Ukraine","Eastern Europe"
"ARE","United Arab Emirates","Western Asia"
"GBR","United Kingdom","Northern Europe"
"TZA","United Republic of Tanzania","Eastern Africa"
"USA","United States of America","Northen America"
"VIR","United States Virgin Islands","Caribbean America"
"URY","Uruguay","South America"
"UZB","Uzbekistan","Central Asia"
"VUT","Vanuatu","Melanesia Oceania"
"VEN","Venezuela (Bolivarian Republic of)","South America"
"VNM","Viet Nam","South-Eastern Asia"
"WLF","Wallis and Futuna Islands","Polynesia Oceania"
"ESH","Western Sahara","Northern Africa"
"YEM","Yemen","Western Asia"
"ZMB","Zambia","Eastern Africa"
"ZWE","Zimbabwe","Eastern Africa"
